# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:06.180Z  giver=8 målPoeng=30 tro=e1-modell/mlb-tro.bin
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
0	VELG	0	0.3768	0.0072	0.0001
0	SPILL	7	0.4429	0.0077	0.0406
0	SPILL	3	0.4200	0.0068	0.0132
0	SPILL	1	0.4267	0.0079	0.0001
0	SPILL	1	0.4203	0.0082	0.0001
0	SPILL	11	0.4616	0.0080	0.0159
0	SPILL	11	0.4996	0.0182	0.0695
0	SPILL	6	0.5732	0.0078	0.2934
0	SPILL	2	0.4500	0.0081	0.0075
0	SPILL	10	0.4922	0.0079	0.0500
0	SPILL	3	0.4641	0.0079	0.0087
0	SPILL	3	0.4563	0.0081	0.0088
0	SPILL	3	0.4635	0.0090	0.0104
0	SPILL	9	0.4492	0.0088	0.0096
0	SPILL	9	0.5203	0.0092	0.0197
0	SPILL	3	0.5134	0.0085	0.0128
0	SPILL	2	0.5118	0.0092	0.0453
0	SPILL	8	0.5080	0.0094	0.0427
0	SPILL	1	0.4524	0.0094	0.0000
0	SPILL	8	0.6548	0.0091	0.1853
0	SPILL	8	0.5100	0.0097	0.0416
0	SPILL	7	0.5034	0.0095	0.0349
0	SPILL	7	0.5096	0.0096	0.0347
0	SPILL	7	0.6408	0.0090	0.1638
0	SPILL	7	0.5020	0.0093	0.0341
0	SPILL	6	0.4906	0.0101	0.0299
0	SPILL	2	0.4759	0.0093	0.0064
0	SPILL	1	0.4745	0.0110	0.0000
0	SPILL	2	0.5061	0.0104	0.0439
0	SPILL	5	0.4672	0.0109	0.0062
0	SPILL	5	0.5129	0.0097	0.0122
0	SPILL	1	0.4765	0.0103	0.0001
0	SPILL	1	0.4716	0.0112	0.0001
0	SPILL	4	0.4872	0.0099	0.0175
0	SPILL	4	0.4833	0.0112	0.0162
0	SPILL	4	0.5567	0.0098	0.0772
0	SPILL	4	0.6612	0.0117	0.0165
0	SPILL	3	0.4909	0.0105	0.0076
0	SPILL	2	0.4907	0.0101	0.0082
0	SPILL	3	0.5398	0.0099	0.0570
0	SPILL	1	0.4998	0.0107	0.0000
0	SPILL	2	0.4972	0.0105	0.0055
0	SPILL	1	0.4949	0.0119	0.0001
0	SPILL	2	0.5521	0.0108	0.0368
0	SPILL	1	0.4914	0.0111	0.0001
0	SPILL	1	0.4887	0.0115	0.0000
0	SPILL	1	0.4810	0.0119	0.0000
0	SPILL	1	0.4874	0.0119	0.0000
0	SPILL	1	0.4881	0.0120	0.0000
1	BUD	0	0.6276	0.0296	0.0002
1	BUD	0	0.6005	0.0084	0.0002
1	BUD	0	0.3814	0.0090	0.0001
1	BUD	0	0.3749	0.0074	0.0001
1	BUD	0	0.3493	0.0072	0.0001
1	VRAK	0	0.3729	0.0078	0.0001
1	VELG	0	0.3999	0.0094	0.0002
1	SPILL	5	0.4230	0.0077	0.0310
1	SPILL	1	0.4005	0.0077	0.0002
1	SPILL	2	0.4147	0.0073	0.0133
1	SPILL	5	0.4487	0.0141	0.0270
1	SPILL	11	0.4274	0.0083	0.0187
1	SPILL	5	0.4275	0.0084	0.0194
1	SPILL	4	0.5330	0.0076	0.0955
1	SPILL	3	0.4888	0.0101	0.0166
1	SPILL	10	0.5246	0.0089	0.0521
1	SPILL	10	0.7281	0.0087	0.2384
1	SPILL	1	0.5393	0.0116	0.0002
1	SPILL	4	0.5709	0.0094	0.0174
1	SPILL	9	0.5793	0.0088	0.0433
1	SPILL	9	0.6878	0.0088	0.2234
1	SPILL	9	0.5759	0.0115	0.0733
1	SPILL	3	0.5132	0.0094	0.0125
1	SPILL	8	0.5229	0.0090	0.0341
1	SPILL	5	0.6054	0.0094	0.1134
1	SPILL	2	0.4687	0.0094	0.0103
1	SPILL	2	0.4791	0.0097	0.0104
1	SPILL	7	0.5056	0.0092	0.0340
1	SPILL	7	0.6312	0.0092	0.1610
1	SPILL	3	0.4798	0.0171	0.0153
1	SPILL	3	0.4864	0.0096	0.0163
1	SPILL	6	0.5239	0.0095	0.0341
1	SPILL	6	0.6272	0.0099	0.1286
1	SPILL	2	0.5002	0.0097	0.0084
1	SPILL	2	1.3008	0.0165	0.0476
1	SPILL	5	0.5889	0.0430	0.0284
1	SPILL	1	0.7537	0.0131	0.0002
1	SPILL	5	0.5317	0.0119	0.0157
1	SPILL	1	0.5210	0.0118	0.0002
1	SPILL	4	0.5417	0.0107	0.0210
1	SPILL	4	0.5679	0.0103	0.0808
1	SPILL	1	0.4811	0.0113	0.0002
1	SPILL	1	0.4735	0.0116	0.0001
1	SPILL	3	0.4849	0.0117	0.0068
1	SPILL	3	0.5016	0.0110	0.0139
1	SPILL	3	0.4899	0.0122	0.0106
1	SPILL	2	0.5338	0.0108	0.0109
1	SPILL	2	0.5189	0.0100	0.0061
1	SPILL	2	0.5318	0.0112	0.0082
1	SPILL	2	0.6181	0.0114	0.0393
1	SPILL	1	0.5228	0.0188	0.0002
1	SPILL	1	0.5144	0.0116	0.0002
1	SPILL	1	0.5168	0.0123	0.0002
1	SPILL	1	0.5835	0.0142	0.0002
1	SPILL	1	0.5685	0.0145	0.0002
1	BUD	0	0.5832	0.0087	0.0001
1	BUD	0	0.5869	0.0080	0.0001
1	BUD	0	0.3936	0.0104	0.0001
1	BUD	0	0.3553	0.0084	0.0001
1	BUD	0	0.3612	0.0074	0.0001
1	VRAK	0	0.3911	0.0080	0.0002
1	VELG	0	0.3957	0.0083	0.0001
1	SPILL	6	0.4352	0.0089	0.0350
1	SPILL	1	0.4264	0.0084	0.0002
1	SPILL	3	0.4288	0.0075	0.0159
1	SPILL	3	0.4382	0.0130	0.0163
