# MLB trekkbygger — kostnad per beslutning
# 2026-08-09T16:09:04.140Z  giver=20 målPoeng=30 tro=AV
# TREKK_LENGDE=1032 MIKRO=273 KONVENSJON=71 regler=17
# kamp	fase	lovlige	ms_total	ms_mikro	ms_konvensjon
1	BUD	0	0.0359	0.0049	0.0001
1	VRAK	0	0.0397	0.0060	0.0001
1	VELG	0	0.0359	0.0051	0.0002
1	SPILL	5	0.0774	0.0122	0.0321
1	SPILL	1	0.0381	0.0057	0.0001
1	SPILL	2	0.0540	0.0062	0.0131
1	SPILL	5	0.0624	0.0108	0.0261
1	SPILL	11	0.0563	0.0060	0.0187
1	SPILL	5	0.0534	0.0058	0.0169
1	SPILL	4	0.1428	0.0065	0.0957
1	SPILL	3	0.0582	0.0067	0.0114
1	SPILL	10	0.0906	0.0059	0.0525
1	SPILL	10	0.2952	0.0073	0.2446
1	SPILL	1	0.0379	0.0065	0.0001
1	SPILL	4	0.0613	0.0069	0.0173
1	SPILL	9	0.1183	0.0075	0.0431
1	SPILL	9	0.2655	0.0073	0.2564
1	SPILL	9	0.8348	0.0167	0.0661
1	SPILL	3	0.0666	0.0082	0.0133
1	SPILL	8	0.0912	0.0086	0.0352
1	SPILL	5	0.1649	0.0081	0.1163
1	SPILL	2	0.0511	0.0079	0.0104
1	SPILL	2	0.0489	0.0073	0.0102
1	SPILL	7	0.0711	0.0074	0.0341
1	SPILL	7	0.2049	0.0074	0.1613
1	SPILL	3	0.0519	0.0087	0.0143
1	SPILL	3	0.0561	0.0078	0.0158
1	SPILL	6	0.0715	0.0078	0.0325
1	SPILL	6	0.1824	0.0086	0.1332
1	SPILL	2	0.0458	0.0079	0.0085
1	SPILL	2	0.0893	0.0081	0.0493
1	SPILL	5	0.0446	0.0080	0.0090
1	SPILL	1	0.0377	0.0090	0.0002
1	SPILL	5	0.0800	0.0084	0.0158
1	SPILL	1	0.0391	0.0096	0.0001
1	SPILL	4	0.0656	0.0084	0.0211
1	SPILL	4	0.1252	0.0082	0.1100
1	SPILL	1	0.0449	0.0110	0.0002
1	SPILL	1	0.0441	0.0101	0.0002
1	SPILL	3	0.9244	0.0185	0.0070
1	SPILL	3	0.0595	0.0108	0.0140
1	SPILL	3	0.0501	0.0099	0.0108
1	SPILL	2	0.0678	0.0093	0.0093
1	SPILL	2	0.0550	0.0095	0.0073
1	SPILL	2	0.0500	0.0097	0.0083
1	SPILL	2	0.0800	0.0088	0.0362
1	SPILL	1	0.0381	0.0091	0.0002
1	SPILL	1	0.0403	0.0125	0.0002
1	SPILL	1	0.0558	0.0100	0.0001
1	SPILL	1	0.0383	0.0093	0.0002
1	SPILL	1	0.0399	0.0122	0.0001
1	BUD	0	0.0381	0.0053	0.0002
1	BUD	0	0.0384	0.0054	0.0001
1	BUD	0	0.0358	0.0053	0.0001
1	BUD	0	0.0342	0.0050	0.0001
1	BUD	0	0.0334	0.0049	0.0001
1	VRAK	0	0.0401	0.0054	0.0001
1	VELG	0	0.0368	0.0051	0.0002
1	SPILL	6	0.0759	0.0055	0.0350
1	SPILL	1	0.0367	0.0071	0.0002
1	SPILL	3	0.0543	0.0055	0.0172
1	SPILL	3	0.0521	0.0056	0.0161
1	SPILL	11	0.0559	0.0076	0.0197
1	SPILL	2	0.0484	0.0056	0.0088
1	SPILL	3	0.0463	0.0060	0.0110
